sector,description,amount_crore,amount_type,unit,fiscal_year_nepali,fiscal_year_english
Industry,Reduce tax burden,0,other,other,2083/84,2026/27
Industry,Increase tax exemption limit to 10 lakh,0,other,other,2083/84,2026/27
Industry,Reduce maximum tax rate by 10 percent,0,percentage,percent,2083/84,2026/27
Industry,Reduce customs duty on 273 types of raw materials,0,other,other,2083/84,2026/27
Industry,Exempt 7 types of industries from customs duty,0,other,other,2083/84,2026/27
ICT,Digital payment system,0,other,other,2083/84,2026/27
Industry,10 percent discount on VAT for digital payments,0,percentage,percent,2083/84,2026/27
Defense,Reform of security agencies,0,other,other,2083/84,2026/27
Defense,"Merger of 31 agencies, abolition of 6, and restructuring of 6",0,count,count,2083/84,2026/27
Defense,Establishment of 18 new agencies,0,count,count,2083/84,2026/27
Roads,Road development,0,other,other,2083/84,2026/27
Roads,Pipeline development,0,other,other,2083/84,2026/27
Environment,Environmental protection,0,other,other,2083/84,2026/27
Energy,Clean energy development,0,other,other,2083/84,2026/27
Industry,Industrial development,0,other,other,2083/84,2026/27
Social Security,Sovereign wealth fund,0,other,other,2083/84,2026/27
Finance,Foreign investment,0,other,other,2083/84,2026/27
Water,Water supply development,0,other,other,2083/84,2026/27
ICT,Digital development,0,other,other,2083/84,2026/27
Tourism,Tourism development,0,other,other,2083/84,2026/27
Agriculture,Agricultural development,0,other,other,2083/84,2026/27
Defense,National security,0,other,other,2083/84,2026/27
Irrigation,Irrigation development,0,other,other,2083/84,2026/27
Sports,Sports development,0,other,other,2083/84,2026/27
Forest,Forest conservation,0,other,other,2083/84,2026/27
Other,Green development,0,other,other,2083/84,2026/27
ICT,Digital Nepal,0,other,other,2083/84,2026/27
ICT,Share in Nepal Telecom,0,percentage,percent,2083/84,2026/27
ICT,Software development,0,other,other,2083/84,2026/27
Energy,Hydropower development,0,other,other,2083/84,2026/27
Energy,10 MW solar power project,0,other,other,2083/84,2026/27
Energy,Transmission line construction,0,other,other,2083/84,2026/27
ICT,AI development,0,other,other,2083/84,2026/27
ICT,AI computing center,0,other,other,2083/84,2026/27
Energy,Hydropower project,0,other,other,2083/84,2026/27
Energy,10 MW hydropower project,0,other,other,2083/84,2026/27
Agriculture,Crop insurance subsidy,0,percentage,percent,2083/84,2026/27
Agriculture,Fertilizer subsidy,0,other,other,2083/84,2026/27
Agriculture,Irrigation subsidy,0,other,other,2083/84,2026/27
Agriculture,Agricultural loan subsidy,0,percentage,percent,2083/84,2026/27
Agriculture,Agricultural loan interest subsidy,0,percentage,percent,2083/84,2026/27
